coll	mtype	dt	op	count	size_bytes	time_avg_us	time_min_us	time_max_us	bus_bw_avg_gbs	bus_bw_min_gbs	bus_bw_max_gbs	eff_bw_gbs
reduce	cuda	int32	prod	4096	16384	11.89	11.89	11.89	1.38	1.38	1.38	1.38
reduce	cuda	int32	prod	8192	32768	11.94	11.94	11.94	2.74	2.74	2.74	2.74
reduce	cuda	int32	prod	16384	65536	11.95	11.95	11.95	5.48	5.48	5.48	5.48
reduce	cuda	int32	prod	32768	131072	12.02	12.02	12.02	10.91	10.91	10.91	10.90
reduce	cuda	int32	prod	65536	262144	12.03	12.03	12.03	21.80	21.80	21.80	21.79
reduce	cuda	int32	prod	131072	524288	12.17	12.17	12.17	43.08	43.08	43.08	43.08
reduce	cuda	int32	prod	262144	1048576	12.04	12.04	12.04	87.13	87.13	87.13	87.09
reduce	cuda	int32	prod	524288	2097152	12.28	12.28	12.28	170.78	170.78	170.78	170.78
reduce	cuda	int32	prod	1048576	4194304	13.34	13.34	13.34	314.53	314.53	314.53	314.42
reduce	cuda	int32	prod	2097152	8388608	14.35	14.35	14.35	584.78	584.78	584.78	584.57
reduce	cuda	int32	prod	4194304	16777216	18.77	18.77	18.77	893.59	893.59	893.59	893.83
reduce	cuda	int32	prod	8388608	33554432	34.81	34.81	34.81	963.93	963.93	963.93	963.93
reduce	cuda	int32	prod	16777216	67108864	56.70	56.70	56.70	1183.58	1183.58	1183.58	1183.58
reduce	cuda	int32	prod	33554432	134217728	100.03	100.03	100.03	1341.77	1341.77	1341.77	1341.77
reduce	cuda	int32	prod	67108864	268435456	189.22	189.22	189.22	1418.60	1418.60	1418.60	1418.64
reduce	cuda	int32	min	1024	4096	8.19	8.19	8.19	0.50	0.50	0.50	0.50
reduce	cuda	int32	min	2048	8192	8.34	8.34	8.34	0.98	0.98	0.98	0.98
reduce	cuda	int32	min	4096	16384	8.26	8.26	8.26	1.98	1.98	1.98	1.98
reduce	cuda	int32	min	8192	32768	8.25	8.25	8.25	3.97	3.97	3.97	3.97
reduce	cuda	int32	min	16384	65536	8.26	8.26	8.26	7.94	7.94	7.94	7.93
reduce	cuda	int32	min	32768	131072	8.32	8.32	8.32	15.75	15.75	15.75	15.75
reduce	cuda	int32	min	65536	262144	8.25	8.25	8.25	31.78	31.78	31.78	31.78
reduce	cuda	int32	min	131072	524288	8.48	8.48	8.48	61.83	61.83	61.83	61.83
reduce	cuda	int32	min	262144	1048576	8.44	8.44	8.44	124.31	124.31	124.31	124.24
reduce	cuda	int32	min	524288	2097152	8.74	8.74	8.74	239.81	239.81	239.81	239.95
reduce	cuda	int32	min	1048576	4194304	9.71	9.71	9.71	431.73	431.73	431.73	431.96
reduce	cuda	int32	min	2097152	8388608	10.77	10.77	10.77	778.89	778.89	778.89	778.89
reduce	cuda	int32	min	4194304	16777216	15.06	15.06	15.06	1113.66	1113.66	1113.66	1114.02
reduce	cuda	int32	min	8388608	33554432	31.25	31.25	31.25	1073.91	1073.91	1073.91	1073.74
reduce	cuda	int32	min	16777216	67108864	53.58	53.58	53.58	1252.50	1252.50	1252.50	1252.50
reduce	cuda	int32	min	33554432	134217728	97.16	97.16	97.16	1381.48	1381.48	1381.48	1381.41
reduce	cuda	int32	min	67108864	268435456	184.93	184.93	184.93	1451.55	1451.55	1451.55	1451.55
reduce	cuda	int32	max	1024	4096	10.37	10.37	10.37	0.40	0.40	0.40	0.39
reduce	cuda	int32	max	2048	8192	10.20	10.20	10.20	0.80	0.80	0.80	0.80
reduce	cuda	int32	max	4096	16384	10.05	10.05	10.05	1.63	1.63	1.63	1.63
reduce	cuda	int32	max	8192	32768	8.64	8.64	8.64	3.79	3.79	3.79	3.79
reduce	cuda	int32	max	16384	65536	8.60	8.60	8.60	7.62	7.62	7.62	7.62
reduce	cuda	int32	max	32768	131072	8.63	8.63	8.63	15.18	15.18	15.18	15.19
reduce	cuda	int32	max	65536	262144	8.55	8.55	8.55	30.66	30.66	30.66	30.66
reduce	cuda	int32	max	131072	524288	8.75	8.75	8.75	59.92	59.92	59.92	59.92
reduce	cuda	int32	max	262144	1048576	8.69	8.69	8.69	120.66	120.66	120.66	120.66
reduce	cuda	int32	max	524288	2097152	8.89	8.89	8.89	235.90	235.90	235.90	235.90
reduce	cuda	int32	max	1048576	4194304	9.95	9.95	9.95	421.75	421.75	421.75	421.54
reduce	cuda	int32	max	2097152	8388608	11.04	11.04	11.04	759.49	759.49	759.49	759.84
reduce	cuda	int32	max	4194304	16777216	15.26	15.26	15.26	1099.78	1099.78	1099.78	1099.42
reduce	cuda	int32	max	8388608	33554432	31.33	31.33	31.33	1071.00	1071.00	1071.00	1071.00
reduce	cuda	int32	max	16777216	67108864	53.52	53.52	53.52	1253.90	1253.90	1253.90	1253.90
reduce	cuda	int32	max	33554432	134217728	97.26	97.26	97.26	1379.99	1379.99	1379.99	1379.99
reduce	cuda	int32	max	67108864	268435456	184.97	184.97	184.97	1451.28	1451.28	1451.28	1451.24
reduce	cuda	int64	sum	1024	8192	8.71	8.71	8.71	0.94	0.94	0.94	0.94
reduce	cuda	int64	sum	2048	16384	8.52	8.52	8.52	1.92	1.92	1.92	1.92
reduce	cuda	int64	sum	4096	32768	9.27	9.27	9.27	3.54	3.54	3.54	3.53
reduce	cuda	int64	sum	8192	65536	8.49	8.49	8.49	7.72	7.72	7.72	7.72
reduce	cuda	int64	sum	16384	131072	8.52	8.52	8.52	15.39	15.39	15.39	15.38
reduce	cuda	int64	sum	32768	262144	8.54	8.54	8.54	30.70	30.70	30.70	30.70
reduce	cuda	int64	sum	65536	524288	8.60	8.60	8.60	60.96	60.96	60.96	60.96
reduce	cuda	int64	sum	131072	1048576	8.56	8.56	8.56	122.50	122.50	122.50	122.50
reduce	cuda	int64	sum	262144	2097152	8.77	8.77	8.77	239.13	239.13	239.13	239.13
reduce	cuda	int64	sum	524288	4194304	9.79	9.79	9.79	428.43	428.43	428.43	428.43
reduce	cuda	int64	sum	1048576	8388608	10.85	10.85	10.85	773.14	773.14	773.14	773.14
reduce	cuda	int64	sum	2097152	16777216	15.07	15.07	15.07	1112.92	1112.92	1112.92	1113.29
reduce	cuda	int64	sum	4194304	33554432	31.31	31.31	31.31	1071.68	1071.68	1071.68	1071.68
reduce	cuda	int64	sum	8388608	67108864	53.59	53.59	53.59	1252.38	1252.38	1252.38	1252.26
reduce	cuda	int64	sum	16777216	134217728	97.44	97.44	97.44	1377.51	1377.51	1377.51	1377.44
reduce	cuda	int64	sum	33554432	268435456	184.93	184.93	184.93	1451.55	1451.55	1451.55	1451.55
reduce	cuda	int64	sum	67108864	536870912	363.76	363.76	363.76	1475.89	1475.89	1475.89	1475.89
reduce	cuda	int64	prod	1024	8192	12.06	12.06	12.06	0.68	0.68	0.68	0.68
reduce	cuda	int64	prod	2048	16384	12.06	12.06	12.06	1.36	1.36	1.36	1.36
reduce	cuda	int64	prod	4096	32768	12.04	12.04	12.04	2.72	2.72	2.72	2.72
reduce	cuda	int64	prod	8192	65536	12.03	12.03	12.03	5.45	5.45	5.45	5.45
reduce	cuda	int64	prod	16384	131072	12.10	12.10	12.10	10.83	10.83	10.83	10.83
reduce	cuda	int64	prod	32768	262144	12.14	12.14	12.14	21.59	21.59	21.59	21.59
reduce	cuda	int64	prod	65536	524288	12.37	12.37	12.37	42.38	42.38	42.38	42.38
reduce	cuda	int64	prod	131072	1048576	12.16	12.16	12.16	86.23	86.23	86.23	86.23
reduce	cuda	int64	prod	262144	2097152	12.47	12.47	12.47	168.18	168.18	168.18	168.18
reduce	cuda	int64	prod	524288	4194304	13.32	13.32	13.32	314.77	314.77	314.77	314.89
reduce	cuda	int64	prod	1048576	8388608	14.64	14.64	14.64	572.99	572.99	572.99	572.99
reduce	cuda	int64	prod	2097152	16777216	18.70	18.70	18.70	897.42	897.42	897.42	897.18
reduce	cuda	int64	prod	4194304	33554432	35.25	35.25	35.25	951.90	951.90	951.90	951.90
reduce	cuda	int64	prod	8388608	67108864	57.07	57.07	57.07	1175.90	1175.90	1175.90	1175.90
reduce	cuda	int64	prod	16777216	134217728	100.29	100.29	100.29	1338.30	1338.30	1338.30	1338.30
reduce	cuda	int64	prod	33554432	268435456	188.36	188.36	188.36	1425.12	1425.12	1425.12	1425.12
reduce	cuda	int64	prod	67108864	536870912	367.16	367.16	367.16	1462.23	1462.23	1462.23	1462.23
reduce	cuda	int64	min	1024	8192	13.43	13.43	13.43	0.61	0.61	0.61	0.61
reduce	cuda	int64	min	2048	16384	13.45	13.45	13.45	1.22	1.22	1.22	1.22
reduce	cuda	int64	min	4096	32768	13.41	13.41	13.41	2.44	2.44	2.44	2.44
reduce	cuda	int64	min	8192	65536	13.39	13.39	13.39	4.89	4.89	4.89	4.89
reduce	cuda	int64	min	16384	131072	13.46	13.46	13.46	9.74	9.74	9.74	9.74
reduce	cuda	int64	min	32768	262144	13.49	13.49	13.49	19.44	19.44	19.44	19.43
reduce	cuda	int64	min	65536	524288	13.71	13.71	13.71	38.26	38.26	38.26	38.24
reduce	cuda	int64	min	131072	1048576	13.46	13.46	13.46	77.93	77.93	77.93	77.90
reduce	cuda	int64	min	262144	2097152	13.87	13.87	13.87	151.26	151.26	151.26	151.20
reduce	cuda	int64	min	524288	4194304	14.63	14.63	14.63	286.59	286.59	286.59	286.69
reduce	cuda	int64	min	1048576	8388608	15.95	15.95	15.95	525.93	525.93	525.93	525.93
reduce	cuda	int64	min	2097152	16777216	20.29	20.29	20.29	826.87	826.87	826.87	826.87
reduce	cuda	int64	min	4194304	33554432	36.55	36.55	36.55	918.04	918.04	918.04	918.04
reduce	cuda	int64	min	8388608	67108864	58.23	58.23	58.23	1152.38	1152.38	1152.38	1152.48
reduce	cuda	int64	min	16777216	134217728	100.94	100.94	100.94	1329.74	1329.74	1329.74	1329.68
reduce	cuda	int64	min	33554432	268435456	189.82	189.82	189.82	1414.12	1414.12	1414.12	1414.16
reduce	cuda	int64	min	67108864	536870912	368.50	368.50	368.50	1456.91	1456.91	1456.91	1456.91
reduce	cuda	int64	max	1024	8192	11.95	11.95	11.95	0.69	0.69	0.69	0.69
reduce	cuda	int64	max	2048	16384	11.95	11.95	11.95	1.37	1.37	1.37	1.37
reduce	cuda	int64	max	4096	32768	11.94	11.94	11.94	2.74	2.74	2.74	2.74
reduce	cuda	int64	max	8192	65536	11.93	11.93	11.93	5.49	5.49	5.49	5.49
reduce	cuda	int64	max	16384	131072	12.04	12.04	12.04	10.89	10.89	10.89	10.89
reduce	cuda	int64	max	32768	262144	12.02	12.02	12.02	21.80	21.80	21.80	21.81
reduce	cuda	int64	max	65536	524288	12.12	12.12	12.12	43.26	43.26	43.26	43.26
reduce	cuda	int64	max	131072	1048576	12.11	12.11	12.11	86.59	86.59	86.59	86.59
reduce	cuda	int64	max	262144	2097152	12.37	12.37	12.37	169.54	169.54	169.54	169.54
reduce	cuda	int64	max	524288	4194304	13.39	13.39	13.39	313.24	313.24	313.24	313.24
reduce	cuda	int64	max	1048576	8388608	14.36	14.36	14.36	584.16	584.16	584.16	584.16
reduce	cuda	int64	max	2097152	16777216	18.70	18.70	18.70	897.42	897.42	897.42	897.18
reduce	cuda	int64	max	4194304	33554432	35.20	35.20	35.20	953.25	953.25	953.25	953.25
reduce	cuda	int64	max	8388608	67108864	57.09	57.09	57.09	1175.39	1175.39	1175.39	1175.49
reduce	cuda	int64	max	16777216	134217728	100.58	100.58	100.58	1334.37	1334.37	1334.37	1334.44
reduce	cuda	int64	max	33554432	268435456	188.51	188.51	188.51	1423.99	1423.99	1423.99	1423.99
reduce	cuda	int64	max	67108864	536870912	367.17	367.17	367.17	1462.21	1462.21	1462.21	1462.19
reduce	cuda-mng	float32	sum	1024	4096	10.15	10.15	10.15	0.40	0.40	0.40	0.40
reduce	cuda-mng	float32	sum	2048	8192	10.21	10.21	10.21	0.80	0.80	0.80	0.80
